Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights:  50%|█████     | 52/103 [00:00<00:00, 493.18it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 581.17it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.[0m
/root/ACPs-app/venv/lib/python3.10/site-packages/networkx/readwrite/json_graph/node_link.py:287: FutureWarning: 
The default value will be changed to `edges="edges" in NetworkX 3.6.

To make this warning go away, explicitly set the edges kwarg, e.g.:

  nx.node_link_graph(data, edges="links") to preserve current behavior, or
  nx.node_link_graph(data, edges="edges") for forward compatibility.
  warnings.warn(
event=kg_graph_load_failed error='links' path=/root/DataSet/processed/knowledge_graph.json
2026-03-15 17:09:31+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-37bd6a2f-6cc5-4f30-bab3-de7722826558 state=completed recommendation_count=5
2026-03-15 17:10:46+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-ddc94fd3-d58c-45f5-bae3-310dfccc5d71 state=completed recommendation_count=5
2026-03-15 17:11:49+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-e175d83d-c1de-4dee-8f08-db744c5893dc state=completed recommendation_count=5
2026-03-15 17:12:57+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-3e1ba385-f12b-449b-8b9f-541a7966f939 state=completed recommendation_count=5
2026-03-15 17:14:09+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-8162d6e4-0d43-4fa5-bbbb-1ea4cd39312f state=completed recommendation_count=5
2026-03-15 17:15:14+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-8c58407b-2915-4842-a630-914582c77784 state=completed recommendation_count=5
2026-03-15 17:16:28+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c60d81a5-8adf-4864-9b1a-e44d3cfb4a6c state=completed recommendation_count=5
2026-03-15 17:17:41+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c2bc6f0e-028f-4b53-9602-4732d863d6da state=completed recommendation_count=5
2026-03-15 17:18:48+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-490511a1-1ac5-4b63-ad4e-48af1642f295 state=completed recommendation_count=5
2026-03-15 17:19:58+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c5e0e82e-e567-46ec-a893-7d8e06d63f14 state=completed recommendation_count=5
